city_name,city_code
Blackwell,20102191
Blackwood,20080622
Bladensburg,20097137
Blaine,20104076
Blaine,20066778
Blaine,20143112
Blaineville,20135993
Blair,20077736
Blairsden,20011678
Blairsville,20025113
Blairsville,20106002
Blake,20021588
Blakely,20025115
Blakeslee,20106006
Blanchard,20031428
Blanco,20126644
Bland,20135999
Bland,20007922
Blanding,20132645
Blantyre,20091250
Blasdell,20085058
Bliss,20031429
Block Island,900031964
Blocker,20021593
Bloodtown,20025128
Bloomer,20149441
Bloomfield,20083123
Bloomfield,20080628
Bloomfield,20040024
Bloomfield Hills,20064022
Bloomingdale,20032868
Bloomington,20036688
Bloomington,20032869
Bloomington,20066783
Bloomington,20011686
Bloomsburg,20106029
Blowing Rock,20091259
Blowing Rock Estates,20091260
Blue Ash,20097168
Blue Bell,20106039
Blue Diamond,20078853
Blue Earth,20066785
Blue Gulf Beach,20021598
Blue Hill,20051542
Blue Hills,20011689
Blue Jay,20011690
Blue Lake,20011691
Blue Mounds,20149445
Blue Mountain Beach,20021602
Blue Ridge,20025135
Blue River,20017131
Blue Springs,20071880
Blueberry Ridge Trailer Park,20051545
Bluefield,20145766
Bluefield,20136034
Bluff,20132655
Bluff City,20120724
Bluffdale,20132657
Bluffton,20115632
Bluffton,20097178
Bluffton,20036698
Blumenthal,20126683
Blythe,20011699
Blytheville,20007941
Blythewood,20115633
Boal,20011701
Boalsburg,20106053
Board Camp,20007942
Boardman,20097179
Boardman,20104082
Boaz,20000433
Boca Grande,20021611
Boca Harbour,20021612
Boca Raton,20021614
Boca West,20021615
Bodega,20011705
Bodega Bay,20011706
Boerne,20126690
Bogalusa,20048461
Bogart,20097183
Bogart,20025156
Bogota,20080634
Bogus Basin,900058385
Bohemia,20085086
Boiceville,20085087
Boiling Springs,20106065
Boiling Springs,20091273
Bois Blanc Island,900021016
Boise,20031434
Boise City,20102204
Bokeelia,20021619
Bolinas,20011713
Bolingbrook,20032891
Bolivar,20097186
Bolivar,20145778
Bolivar,20071892
Bolivar,20120741
Bolivar Beach,20126698
Bolivar Peninsula,20126699
Bolton,20061713
Bolton,20104083
Bolton,20042203
Bolton,20085090
Bolton,20134554
Bolton Landing,20085091
Bombay,20011717
Bombay Beach,20011718
Bomoseen,20134556
Bon Secour,20000453
Bon Terra,20021621
Bonaventure,20021622
Bondville,20134557
Boney,20115645
Bonham,20126706
Bonifay,20021623
Bonita,20017140
Bonita,20011725
Bonita Shores,20021624
Bonita Springs,20021625
Bonnabel Place,20048481
Bonne Terre,20071899
Bonner Springs,20042205
Bonners Ferry,20031440
Bonny Doon,20011730
Boone,20040038
Boone,20091289
Boone Fork,20091290
Boones Creek,20120761
Booneville,20044092
Booneville,20007961
Booneville,20068971
Boonton,20080638
Boonville,20071902
Boonville,20085099
Boothbay,20051552
Boothbay Harbor,20051553
Bootjack,20011733
Bordentown,20080639
Bordenville,20017142
Borderland,20126725
Borger,20126727
Boron,20011736
Borrego Springs,20011740
Boscawen,20079499
Boscobel,20149460
Bossier City,20048491
Boston,20136080
Boston,20061717
Bothell,20143132
Bottineau,20095954
Bottle Island,900007348
Bouchard,20126735
Boulder,20017143
Boulder Bay,20011743
Boulder City,20078858
Boulder Creek,20011744
Boulder Island,900038405
Boulder Junction,20149462
Boulder Junction,20078859
Boulder Town,20132672
Boulevard,20011748
Bounce,20126736
Bountiful,20132673
Bourbon,20071911
Bourbonnais,20032907
Bourne,20061718
Boutte,20048498
Bow,20143135
Bow Center,20079502
Bowdoinham,20051556
Bowerbank,20011752
Bowie,20126739
Bowie,20054158
Bowler,20149464
Bowling Green,20044112
Bowling Green,20097213
Bowling Green,20071918
Bowman,20079507
Bowman,20095959
Bowmans Beach Helistop,900007350
Bowmansville,20085126
Box Elder,20119400
Boxborough,900040975
Boyce,20136110
Boyceville,20149465
Boyds,20054173
Boyds Creek,20120779
Boyes Hot Springs,20011759
Boyne City,20064042
Boyne Falls,20064043
Boynton Beach,20021636
Boys Town,20077751
Bozeman,20076176
Bracken,20078862
Braden,20120786
Braden Castle,20021637
Bradenton,20021638
Bradenton Beach,20021639
Bradford,20106140
Bradfordville,20021641
Bradley,20011766
Bradshaw,20120790
Brady,20126758
Brainerd,20066805
Braintree,20061733
Bram Landing,20115677
Branch Township,900053273
Branchburg Park,20080659
Branchport,20085140
